"Year","Month","Day","Tmax","Tmin","JDay","Hour","Temp"
1998,1,1,8.2,5.1,1,0,5.1
1998,1,1,8.2,5.1,1,1,5.1
1998,1,1,8.2,5.1,1,2,5.1
1998,1,1,8.2,5.1,1,3,5.1
1998,1,1,8.2,5.1,1,4,5.1
1998,1,1,8.2,5.1,1,5,5.1
1998,1,1,8.2,5.1,1,6,5.1
1998,1,1,8.2,5.1,1,7,5.1
1998,1,1,8.2,5.1,1,8,5.14
1998,1,1,8.2,5.1,1,9,5.93
1998,1,1,8.2,5.1,1,10,6.67
1998,1,1,8.2,5.1,1,11,7.3
1998,1,1,8.2,5.1,1,12,7.79
1998,1,1,8.2,5.1,1,13,8.1
1998,1,1,8.2,5.1,1,14,8.2
1998,1,1,8.2,5.1,1,15,8.1
1998,1,1,8.2,5.1,1,16,7.79
1998,1,1,8.2,5.1,1,17,7.12
1998,1,1,8.2,5.1,1,18,6.71
1998,1,1,8.2,5.1,1,19,6.42
1998,1,1,8.2,5.1,1,20,6.2
1998,1,1,8.2,5.1,1,21,6.02
1998,1,1,8.2,5.1,1,22,5.87
1998,1,1,8.2,5.1,1,23,5.74
1998,1,2,9.1,5,2,0,5.57
1998,1,2,9.1,5,2,1,5.47
1998,1,2,9.1,5,2,2,5.37
1998,1,2,9.1,5,2,3,5.29
1998,1,2,9.1,5,2,4,5.21
1998,1,2,9.1,5,2,5,5.13
1998,1,2,9.1,5,2,6,5.06
1998,1,2,9.1,5,2,7,5
1998,1,2,9.1,5,2,8,5.06
1998,1,2,9.1,5,2,9,6.11
1998,1,2,9.1,5,2,10,7.08
1998,1,2,9.1,5,2,11,7.92
1998,1,2,9.1,5,2,12,8.56
1998,1,2,9.1,5,2,13,8.96
1998,1,2,9.1,5,2,14,9.1
1998,1,2,9.1,5,2,15,8.96
1998,1,2,9.1,5,2,16,8.56
1998,1,2,9.1,5,2,17,7.3
1998,1,2,9.1,5,2,18,6.53
1998,1,2,9.1,5,2,19,5.99
1998,1,2,9.1,5,2,20,5.57
1998,1,2,9.1,5,2,21,5.23
1998,1,2,9.1,5,2,22,4.94
1998,1,2,9.1,5,2,23,4.69
1998,1,3,10.4,3.3,3,0,4.39
1998,1,3,10.4,3.3,3,1,4.18
1998,1,3,10.4,3.3,3,2,4
1998,1,3,10.4,3.3,3,3,3.84
1998,1,3,10.4,3.3,3,4,3.69
1998,1,3,10.4,3.3,3,5,3.55
1998,1,3,10.4,3.3,3,6,3.41
1998,1,3,10.4,3.3,3,7,3.29
1998,1,3,10.4,3.3,3,8,3.42
1998,1,3,10.4,3.3,3,9,5.23
1998,1,3,10.4,3.3,3,10,6.92
1998,1,3,10.4,3.3,3,11,8.36
1998,1,3,10.4,3.3,3,12,9.47
1998,1,3,10.4,3.3,3,13,10.16
1998,1,3,10.4,3.3,3,14,10.4
1998,1,3,10.4,3.3,3,15,10.16
1998,1,3,10.4,3.3,3,16,9.47
1998,1,3,10.4,3.3,3,17,8.26
1998,1,3,10.4,3.3,3,18,7.54
1998,1,3,10.4,3.3,3,19,7.03
1998,1,3,10.4,3.3,3,20,6.63
1998,1,3,10.4,3.3,3,21,6.31
1998,1,3,10.4,3.3,3,22,6.04
1998,1,3,10.4,3.3,3,23,5.81
1998,1,4,8.4,4.5,4,0,5.52
1998,1,4,8.4,4.5,4,1,5.33
1998,1,4,8.4,4.5,4,2,5.16
1998,1,4,8.4,4.5,4,3,5
1998,1,4,8.4,4.5,4,4,4.86
1998,1,4,8.4,4.5,4,5,4.73
1998,1,4,8.4,4.5,4,6,4.61
1998,1,4,8.4,4.5,4,7,4.49
1998,1,4,8.4,4.5,4,8,4.57
1998,1,4,8.4,4.5,4,9,5.57
1998,1,4,8.4,4.5,4,10,6.49
1998,1,4,8.4,4.5,4,11,7.28
1998,1,4,8.4,4.5,4,12,7.89
1998,1,4,8.4,4.5,4,13,8.27
1998,1,4,8.4,4.5,4,14,8.4
1998,1,4,8.4,4.5,4,15,8.27
1998,1,4,8.4,4.5,4,16,7.89
1998,1,4,8.4,4.5,4,17,7.07
1998,1,4,8.4,4.5,4,18,6.58
1998,1,4,8.4,4.5,4,19,6.23
1998,1,4,8.4,4.5,4,20,5.96
1998,1,4,8.4,4.5,4,21,5.74
1998,1,4,8.4,4.5,4,22,5.55
1998,1,4,8.4,4.5,4,23,5.39
1998,1,5,7.7,4.5,5,0,5.2
1998,1,5,7.7,4.5,5,1,5.07
1998,1,5,7.7,4.5,5,2,4.95
1998,1,5,7.7,4.5,5,3,4.84
1998,1,5,7.7,4.5,5,4,4.75
1998,1,5,7.7,4.5,5,5,4.66
1998,1,5,7.7,4.5,5,6,4.57
1998,1,5,7.7,4.5,5,7,4.49
1998,1,5,7.7,4.5,5,8,4.57
1998,1,5,7.7,4.5,5,9,5.38
1998,1,5,7.7,4.5,5,10,6.14
1998,1,5,7.7,4.5,5,11,6.79
1998,1,5,7.7,4.5,5,12,7.28
1998,1,5,7.7,4.5,5,13,7.59
1998,1,5,7.7,4.5,5,14,7.7
1998,1,5,7.7,4.5,5,15,7.59
1998,1,5,7.7,4.5,5,16,7.28
1998,1,5,7.7,4.5,5,17,6.59
1998,1,5,7.7,4.5,5,18,6.17
1998,1,5,7.7,4.5,5,19,5.87
1998,1,5,7.7,4.5,5,20,5.64
1998,1,5,7.7,4.5,5,21,5.45
1998,1,5,7.7,4.5,5,22,5.3
1998,1,5,7.7,4.5,5,23,5.16
1998,1,6,8.1,4.4,6,0,4.99
1998,1,6,8.1,4.4,6,1,4.88
1998,1,6,8.1,4.4,6,2,4.78
1998,1,6,8.1,4.4,6,3,4.69
1998,1,6,8.1,4.4,6,4,4.61
1998,1,6,8.1,4.4,6,5,4.53
1998,1,6,8.1,4.4,6,6,4.46
1998,1,6,8.1,4.4,6,7,4.39
1998,1,6,8.1,4.4,6,8,4.49
1998,1,6,8.1,4.4,6,9,5.43
1998,1,6,8.1,4.4,6,10,6.3
1998,1,6,8.1,4.4,6,11,7.05
1998,1,6,8.1,4.4,6,12,7.62
1998,1,6,8.1,4.4,6,13,7.98
1998,1,6,8.1,4.4,6,14,8.1
1998,1,6,8.1,4.4,6,15,7.98
1998,1,6,8.1,4.4,6,16,7.62
1998,1,6,8.1,4.4,6,17,7.42
1998,1,6,8.1,4.4,6,18,7.32
1998,1,6,8.1,4.4,6,19,7.25
1998,1,6,8.1,4.4,6,20,7.19
1998,1,6,8.1,4.4,6,21,7.15
1998,1,6,8.1,4.4,6,22,7.11
1998,1,6,8.1,4.4,6,23,7.08
1998,1,7,12,6.9,7,0,7.04
1998,1,7,12,6.9,7,1,7.01
1998,1,7,12,6.9,7,2,6.99
1998,1,7,12,6.9,7,3,6.97
1998,1,7,12,6.9,7,4,6.95
1998,1,7,12,6.9,7,5,6.93
1998,1,7,12,6.9,7,6,6.91
1998,1,7,12,6.9,7,7,6.9
1998,1,7,12,6.9,7,8,7.04
1998,1,7,12,6.9,7,9,8.33
1998,1,7,12,6.9,7,10,9.53
1998,1,7,12,6.9,7,11,10.56
1998,1,7,12,6.9,7,12,11.34
1998,1,7,12,6.9,7,13,11.83
1998,1,7,12,6.9,7,14,12
1998,1,7,12,6.9,7,15,11.83
1998,1,7,12,6.9,7,16,11.34
1998,1,7,12,6.9,7,17,10.67
1998,1,7,12,6.9,7,18,10.26
1998,1,7,12,6.9,7,19,9.98
1998,1,7,12,6.9,7,20,9.77
1998,1,7,12,6.9,7,21,9.59
1998,1,7,12,6.9,7,22,9.44
1998,1,7,12,6.9,7,23,9.31
1998,1,8,11.2,8.6,8,0,9.15
1998,1,8,11.2,8.6,8,1,9.05
1998,1,8,11.2,8.6,8,2,8.96
1998,1,8,11.2,8.6,8,3,8.87
1998,1,8,11.2,8.6,8,4,8.79
1998,1,8,11.2,8.6,8,5,8.72
1998,1,8,11.2,8.6,8,6,8.66
1998,1,8,11.2,8.6,8,7,8.59
1998,1,8,11.2,8.6,8,8,8.68
1998,1,8,11.2,8.6,8,9,9.34
1998,1,8,11.2,8.6,8,10,9.95
1998,1,8,11.2,8.6,8,11,10.47
1998,1,8,11.2,8.6,8,12,10.87
1998,1,8,11.2,8.6,8,13,11.11
1998,1,8,11.2,8.6,8,14,11.2
1998,1,8,11.2,8.6,8,15,11.11
1998,1,8,11.2,8.6,8,16,10.87
1998,1,8,11.2,8.6,8,17,10.3
1998,1,8,11.2,8.6,8,18,9.95
1998,1,8,11.2,8.6,8,19,9.71
1998,1,8,11.2,8.6,8,20,9.52
1998,1,8,11.2,8.6,8,21,9.36
1998,1,8,11.2,8.6,8,22,9.23
1998,1,8,11.2,8.6,8,23,9.12
1998,1,9,13.9,8.5,9,0,8.98
1998,1,9,13.9,8.5,9,1,8.89
1998,1,9,13.9,8.5,9,2,8.81
1998,1,9,13.9,8.5,9,3,8.74
1998,1,9,13.9,8.5,9,4,8.67
1998,1,9,13.9,8.5,9,5,8.61
1998,1,9,13.9,8.5,9,6,8.55
1998,1,9,13.9,8.5,9,7,8.49
1998,1,9,13.9,8.5,9,8,8.69
1998,1,9,13.9,8.5,9,9,10.05
1998,1,9,13.9,8.5,9,10,11.31
1998,1,9,13.9,8.5,9,11,12.38
1998,1,9,13.9,8.5,9,12,13.21
1998,1,9,13.9,8.5,9,13,13.72
1998,1,9,13.9,8.5,9,14,13.9
1998,1,9,13.9,8.5,9,15,13.72
1998,1,9,13.9,8.5,9,16,13.21
1998,1,9,13.9,8.5,9,17,11.01
1998,1,9,13.9,8.5,9,18,9.56
1998,1,9,13.9,8.5,9,19,8.55
1998,1,9,13.9,8.5,9,20,7.77
1998,1,9,13.9,8.5,9,21,7.14
1998,1,9,13.9,8.5,9,22,6.61
1998,1,9,13.9,8.5,9,23,6.15
1998,1,10,14.5,3.6,10,0,5.58
1998,1,10,14.5,3.6,10,1,5.21
1998,1,10,14.5,3.6,10,2,4.87
1998,1,10,14.5,3.6,10,3,4.57
1998,1,10,14.5,3.6,10,4,4.29
1998,1,10,14.5,3.6,10,5,4.03
1998,1,10,14.5,3.6,10,6,3.79
1998,1,10,14.5,3.6,10,7,3.57
1998,1,10,14.5,3.6,10,8,4.02
1998,1,10,14.5,3.6,10,9,6.76
1998,1,10,14.5,3.6,10,10,9.29
1998,1,10,14.5,3.6,10,11,11.45
1998,1,10,14.5,3.6,10,12,13.11
1998,1,10,14.5,3.6,10,13,14.15
1998,1,10,14.5,3.6,10,14,14.5
1998,1,10,14.5,3.6,10,15,14.15
1998,1,10,14.5,3.6,10,16,13.11
1998,1,10,14.5,3.6,10,17,10.71
1998,1,10,14.5,3.6,10,18,9.18
1998,1,10,14.5,3.6,10,19,8.11
1998,1,10,14.5,3.6,10,20,7.29
1998,1,10,14.5,3.6,10,21,6.62
1998,1,10,14.5,3.6,10,22,6.06
1998,1,10,14.5,3.6,10,23,5.58
1998,1,11,11.2,2.9,11,0,4.98
1998,1,11,11.2,2.9,11,1,4.59
1998,1,11,11.2,2.9,11,2,4.24
1998,1,11,11.2,2.9,11,3,3.92
1998,1,11,11.2,2.9,11,4,3.62
1998,1,11,11.2,2.9,11,5,3.35
1998,1,11,11.2,2.9,11,6,3.1
1998,1,11,11.2,2.9,11,7,2.86
1998,1,11,11.2,2.9,11,8,3.25
1998,1,11,11.2,2.9,11,9,5.33
1998,1,11,11.2,2.9,11,10,7.25
1998,1,11,11.2,2.9,11,11,8.89
1998,1,11,11.2,2.9,11,12,10.15
1998,1,11,11.2,2.9,11,13,10.93
1998,1,11,11.2,2.9,11,14,11.2
1998,1,11,11.2,2.9,11,15,10.93
1998,1,11,11.2,2.9,11,16,10.15
1998,1,11,11.2,2.9,11,17,8.49
1998,1,11,11.2,2.9,11,18,7.42
1998,1,11,11.2,2.9,11,19,6.69
1998,1,11,11.2,2.9,11,20,6.12
1998,1,11,11.2,2.9,11,21,5.66
1998,1,11,11.2,2.9,11,22,5.27
1998,1,11,11.2,2.9,11,23,4.94
1998,1,12,10.3,3.1,12,0,4.53
1998,1,12,10.3,3.1,12,1,4.26
1998,1,12,10.3,3.1,12,2,4.02
1998,1,12,10.3,3.1,12,3,3.8
1998,1,12,10.3,3.1,12,4,3.59
1998,1,12,10.3,3.1,12,5,3.41
1998,1,12,10.3,3.1,12,6,3.23
1998,1,12,10.3,3.1,12,7,3.07
1998,1,12,10.3,3.1,12,8,3.43
1998,1,12,10.3,3.1,12,9,5.23
1998,1,12,10.3,3.1,12,10,6.89
1998,1,12,10.3,3.1,12,11,8.31
1998,1,12,10.3,3.1,12,12,9.39
1998,1,12,10.3,3.1,12,13,10.07
1998,1,12,10.3,3.1,12,14,10.3
