"names.pheno.","task"
"Almond.Abiodh Ras Djebel.Sfax",1
"Almond.Abiodh de Sfax.Sfax",2
"Almond.Achaak.Santomera",3
"Almond.Achaak.Sfax",4
"Almond.Avola.Sfax",5
"Almond.Bonifacio.Sfax",6
"Almond.Bruantine.Sfax",7
"Almond.Cavaliera.Sfax",8
"Almond.Cristomorto.Sfax",9
"Almond.Desmayo.Santomera",10
"Almond.Doree.Sfax",11
"Almond.Faggoussi.Sfax",12
"Almond.Fakhfekh.Sfax",13
"Almond.Fasciuneddu.Sfax",14
"Almond.Ferraduel.Sfax",15
"Almond.Ferragnes.Meknes",16
"Almond.Ferragnes.Santomera",17
"Almond.Ferragnes.Sfax",18
"Almond.Fournat de Breznaud.Sfax",19
"Almond.Garnghzel.Sfax",20
"Almond.Genco Taronto.Sfax",21
"Almond.Khoukhi.Sfax",22
"Almond.Ksontini.Sfax",23
"Almond.Languedoc.Sfax",24
"Almond.Malaguena.Sfax",25
"Almond.Marcona.Meknes",26
"Almond.Marcona.Santomera",27
"Almond.Mazzetto.Sfax",28
"Almond.Montrone.Sfax",29
"Almond.Ne Plus Ultra.Sfax",30
"Almond.Nonpareil.Sfax",31
"Almond.Pizzuta.Sfax",32
"Almond.Ramlet R249.Sfax",33
"Almond.Ramlet R250.Sfax",34
"Almond.Soukaret.Sfax",35
"Almond.Tarragona.Sfax",36
"Almond.Tozeur 1.Sfax",37
"Almond.Tozeur 2.Sfax",38
"Almond.Tozeur 4.Sfax",39
"Almond.Trell.Sfax",40
"Almond.Tuono.Meknes",41
"Almond.Tuono Taronto.Sfax",42
"Almond.Zahaf.Sfax",43
"Apple.Berlepsch.Klein-Altendorf",44
"Apple.Braeburn.Klein-Altendorf",45
"Apple.Cox Orange.Klein-Altendorf",46
"Apple.Elstar.Klein-Altendorf",47
"Apple.Golden Delicious.Klein-Altendorf",48
"Apple.Golden Delicious.Meknes",49
"Apple.James Grieve.Klein-Altendorf",50
"Apple.Jonagold.Klein-Altendorf",51
"Apple.Roter Boskoop.Klein-Altendorf",52
"Apple.Topaz.Klein-Altendorf",53
"Apricot.Bulida.Cieza",54
"Apricot.Canino.Zaragoza",55
"Apricot.Dorada.Cieza",56
"Apricot.Goldrich.Zaragoza",57
"Apricot.Harcot.Zaragoza",58
"Apricot.Henderson.Zaragoza",59
"Apricot.Mitger.Zaragoza",60
"Apricot.Pandora.Zaragoza",61
"Apricot.Pepito del Rubio.Zaragoza",62
"Apricot.Stark E. Orange.Zaragoza",63
"Apricot.Sunglo.Zaragoza",64
"Apricot.Tadeo.Zaragoza",65
"Apricot.Veecot.Zaragoza",66
"Sweet Cherry.Ambrunes.Zaragoza",67
"Sweet Cherry.Bing.Zaragoza",68
"Sweet Cherry.Blanca de Provenza.Zaragoza",69
"Sweet Cherry.Burlat.Klein-Altendorf",70
"Sweet Cherry.Burlat.Zaragoza",71
"Sweet Cherry.Chinook.Zaragoza",72
"Sweet Cherry.Compact Stella.Zaragoza",73
"Sweet Cherry.Corum.Zaragoza",74
"Sweet Cherry.Early Van Compact.Zaragoza",75
"Sweet Cherry.Garnet.Zaragoza",76
"Sweet Cherry.Gilpeck.Zaragoza",77
"Sweet Cherry.Hedelfinger.Zaragoza",78
"Sweet Cherry.Lambert.Zaragoza",79
"Sweet Cherry.Lapins.Zaragoza",80
"Sweet Cherry.Marvin.Zaragoza",81
"Sweet Cherry.Napoleon.Zaragoza",82
"Sweet Cherry.Newstar.Zaragoza",83
"Sweet Cherry.Pico Colorado.Zaragoza",84
"Sweet Cherry.Pico Negro.Zaragoza",85
"Sweet Cherry.Precoce Bernard.Zaragoza",86
"Sweet Cherry.Rainier.Zaragoza",87
"Sweet Cherry.Ramon Oliva.Zaragoza",88
"Sweet Cherry.Regina.Klein-Altendorf",89
"Sweet Cherry.Rubi.Zaragoza",90
"Sweet Cherry.Sam.Zaragoza",91
"Sweet Cherry.Sandom Rose.Zaragoza",92
"Sweet Cherry.Santina.Zaragoza",93
"Sweet Cherry.Schneiders.Klein-Altendorf",94
"Sweet Cherry.Star.Zaragoza",95
"Sweet Cherry.Sue.Zaragoza",96
"Sweet Cherry.Summit.Zaragoza",97
"Sweet Cherry.Sunburst.Zaragoza",98
"Sweet Cherry.Sylvia.Klein-Altendorf",99
"Sweet Cherry.Sylvia.Zaragoza",100
"Sweet Cherry.Taleguera Brillante.Zaragoza",101
"Sweet Cherry.Van.Zaragoza",102
"Sweet Cherry.Van-Spur.Zaragoza",103
"Sweet Cherry.Vega.Zaragoza",104
"Sweet Cherry.Vic.Zaragoza",105
"Almond.Achaak.combined",106
"Sweet Cherry.Burlat.combined",107
"Apricot.Canino.combined",108
"Almond.Ferraduel.combined",109
"Almond.Ferragnes.combined",110
"Apple.Golden Delicious.combined",111
"Apricot.Goldrich.combined",112
"Almond.Malaguena.combined",113
"Almond.Marcona.combined",114
"Apricot.Pepito del Rubio.combined",115
"Apricot.Stark E. Orange.combined",116
"Apricot.Sunglo.combined",117
"Sweet Cherry.Sylvia.combined",118
"Almond.Tuono.combined",119
