Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference
Apple,Almey,Crab,USA,E,842,,,,"Hauagge and Cummins, 1991"
Apple,Anna,Dessert,Egypt,E,253,233,,5731,"El-Agamy et al., 2000"
Apple,Anna,Dessert,Morocco,E,,,23,8290,"El Yaacoubi et al., 2016"
Apple,Anna,Dessert,USA,E,218,,,,"Hauagge and Cummins, 1991"
Apple,Anoka,Dessert,USA,E,1137,,,,"Hauagge and Cummins, 1991"
Apple,Aporo,Dessert,Spain,S,,,66.4,7416,"Funes et al., 2016"
Apple,Aporo,Dessert,Spain,S,,,37.8,9232,"Díez-Palet et al., 2019"
Apple,Arkad Zimnji,Dessert,USA,E,1134,,,,"Hauagge and Cummins, 1991"
Apple,Beacon,Dessert,USA,E,1122,,,,"Hauagge and Cummins, 1991"
Apple,Bellefleur Record,Dessert,USA,E,1145,,,,"Hauagge and Cummins, 1991"
Apple,Beverly Hills,Dessert,USA,E,1152,,,,"Hauagge and Cummins, 1991"
Apple,Blaimont,Dessert,USA,E,1082,,,,"Hauagge and Cummins, 1991"
Apple,Blanquina,Cider,Spain,E,855,1225,78.4,8438,"Delgado et al., 2021a"
Apple,Blanquina,Cider,Spain,S,847,1292,63.3,7940,"Delgado et al., 2021b"
Apple,Boskoop,Dessert,Belgium,S,,,59.2,4430,"Drepper et al., 2020"
Apple,Brookfield Gala,Dessert,Spain,S,,,62.5,9230,"Funes et al., 2016"
Apple,Brookfield Gala,Dessert,Spain,S,,,44.5,9501,"Díez-Palet et al., 2019"
Apple,Challenger,Dessert,Spain,S,,,43,8202,"Díez-Palet et al., 2019"
Apple,Chesnut Crab,Crab,USA,E,838,,,,"Hauagge and Cummins, 1991"
Apple,Chihuahua Gold,Dessert,USA,E,1156,,,,"Hauagge and Cummins, 1991"
Apple,Clara,Cider,Spain,S,842,1296,63.9,9921,"Delgado et al., 2021b"
Apple,Collaos,Cider,Spain,E,911,1304,84.6,10543,"Delgado et al., 2021a"
Apple,Collaos,Cider,Spain,S,818,1240,60.3,9585,"Delgado et al., 2021b"
Apple,Coloradona,Cider,Spain,S,815,1263,63.5,8909,"Delgado et al., 2021b"
Apple,Columbia Crab,Cider,USA,E,890,,,,"Hauagge and Cummins, 1991"
Apple,Cowichan,Crab,USA,E,1044,,,,"Hauagge and Cummins, 1991"
Apple,Cox Orange,Dessert,Belgium,S,,,79.6,4268,"Drepper et al., 2020"
Apple,Cripps Pink,Dessert,Australia,E,856,1242,73.3,,"Parkes et al., 2020"
Apple,Cripps Pink,Dessert,Australia,S,,,57,12330,"Darbyshire et al., 2015"
Apple,Cripps Red,Dessert,Australia,E,662,976,57,,"Parkes et al., 2020"
Apple,De la Riega,Cider,Spain,E,774,1162,72.2,11770,"Delgado et al., 2021a"
Apple,De la Riega,Cider,Spain,S,830,1260,61.3,8022,"Delgado et al., 2021b"
Apple,Delicious,Dessert,USA,E,1093,,,,"Hauagge and Cummins, 1991"
Apple,Democrat,Dessert,USA,E,1066,,,,"Hauagge and Cummins, 1991"
Apple,Dolgo,Crab,USA,E,966,,,,"Hauagge and Cummins, 1991"
Apple,Dorsett Golden,Dessert,Egypt,E,238,229,,5107,"El-Agamy et al., 2000"
Apple,Dorsett Golden,Dessert,USA,E,814,,,,"Hauagge and Cummins, 1991"
Apple,Early McIntosh,Dessert,USA,E,1182,,,,"Hauagge and Cummins, 1991"
Apple,Early Read One,Dessert,Spain,S,,,65.6,9025,"Funes et al., 2016"
Apple,Early Red One,Dessert,Spain,S,,,43.6,9349,"Díez-Palet et al., 2019"
Apple,Ecolette,Dessert,Italy,E,866,,46,,"Finetto, 2013"
Apple,Edgar,Unknown,USA,E,1127,,,,
Apple,Elstar,Dessert,Spain,E,674,1096,65.6,10649,"Delgado et al., 2021a"
Apple,Elstar,Dessert,Germany,E,,,50,5000,"Fernandez et al., 2020"
Apple,Elstar,Dessert,Germany,S,,,43,14845,"Fernandez et al., 2021"
Apple,Elstar,Dessert,USA,E,1027,,,,"Hauagge and Cummins, 1991"
