Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference,CP_mean,CP_std,GDH_mean,GDH_std,CH_mean,CH_std,CU_mean,CU_std,CP_standardized,GDH_standardized
Apple,Cox Orange,Dessert,Belgium,S,,,79.6,4268.0,"Drepper et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.36,-1.56
Apple,Elstar,Dessert,Spain,E,674.0,1096.0,65.6,10649.0,"Delgado et al., 2021a",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.46,0.7
Apple,Elstar,Dessert,Germany,E,,,50.0,5000.0,"Fernandez et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.54,-1.3
Apple,Elstar,Dessert,Germany,S,,,43.0,14845.0,"Fernandez et al., 2021",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.99,2.19
Apple,Golden Delicious,Dessert,Italy,E,1025.0,,52.0,,"Finetto, 2013",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.41,
Apple,Golden Delicious,Dessert,Non-specified,E,1200.0,,50.0,,"Erez, 2000",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.54,
Apple,Golden Delicious,Dessert,Belgium,S,,,59.8,4980.0,"Drepper et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.09,-1.31
Apple,Golden Delicious,Dessert,France,E,,,57.4,9964.0,"El Yaacoubi et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.07,0.46
Apple,Golden Delicious,Dessert,Morocco,E,,,64.2,6865.0,"El Yaacoubi et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.37,-0.64
Apple,Jonagold,Dessert,Belgium,S,,,60.7,4644.0,"Drepper et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.14,-1.43
Apple,Topaz,Dessert,Italy,E,1006.0,,52.0,,"Finetto, 2013",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.41,
Sweet Cherry,Schneiders,,Germany,S,1375.0,1410.0,68.6,3473.0,Luedeling et al. 2013,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,1.35,-1.9
Sweet Cherry,Burlat,,Spain,E,618.0,806.0,48.0,8750.2,Albuquerque et al. 2012,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.27,-0.0
Sweet Cherry,Marvin,,Spain,E,788.0,1001.0,57.6,9449.7,Albuquerque et al. 2014,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.49,0.25
Sweet Cherry,Pico Negro,,Spain,S,788.0,1086.0,53.6,7140.0,"Fadón et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.17,-0.58
Sweet Cherry,Ambrunes,,Spain,S,788.0,1086.0,53.6,7004.0,"Fadón et al., 2026",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.17,-0.63
Sweet Cherry,Pico Colorado,,Spain,S,672.0,949.0,46.5,7365.0,"Fadón et al., 2027",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.39,-0.5
Sweet Cherry,Taleguera Brillante,,Spain,S,881.0,1211.0,58.8,8030.0,"Fadón et al., 2028",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.58,-0.26
Sweet Cherry,Blanca de Provenza,,Spain,S,910.0,1250.0,60.2,6457.0,"Fadón et al., 2029",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.69,-0.83
Sweet Cherry,Burlat,,Spain,E,618.0,806.0,48.0,8750.2,Albuquerque et al. 2008,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.27,-0.0
Sweet Cherry,Burlat,,Spain,E,,,86.0,,Campoy et al. 2019,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,2.72,
Sweet Cherry,Marvin,,Spain,E,788.0,1002.0,57.6,9450.0,Albuquerque et al. 2008,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.49,0.25
Sweet Cherry,Regina,,Spain,E,,,86.0,,Campoy et al. 2019,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,2.72,
Sweet Cherry,Schneiders,,Germany,S,698.0,794.0,45.7,3473.0,Luedeling et al. 2013,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.45,-1.9
Apricot,Canino,,Spain,E,532.0,806.0,45.0,5724.0,"Campoy et al., 2012",50.94,11.34,4036.73,1519.89,827.2,307.2,996.48,241.58,-0.52,1.11
Apricot,Canino,,South Africa,E,488.0,304.0,29.8,,"Campoy et al., 2012",50.94,11.34,4036.73,1519.89,827.2,307.2,996.48,241.58,-1.86,
Apricot,Dorada,,Spain,E,594.0,1007.0,56.2,5079.0,"Ruiz et al., 2007",50.94,11.34,4036.73,1519.89,827.2,307.2,996.48,241.58,0.46,0.69
Apricot,Dorada,,Spain,E,720.0,1069.0,57.7,6189.0,"Campoy et al., 2012",50.94,11.34,4036.73,1519.89,827.2,307.2,996.48,241.58,0.6,1.42
Apricot,Goldrich,,Italy,E,,1084.0,65.2,699.0,"Viti et al., 2010",50.94,11.34,4036.73,1519.89,827.2,307.2,996.48,241.58,1.26,-2.2
Apricot,Goldrich,,Spain,E,,992.0,58.6,2749.0,"Viti et al., 2010",50.94,11.34,4036.73,1519.89,827.2,307.2,996.48,241.58,0.68,-0.85
Almond,Abiodh de Sfax,,Tunisia,S,12.0,-284.0,4.6,6206.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-1.19,-0.77
Almond,Abiodh Ras Djebel,,Tunisia,S,59.0,-53.0,15.5,7324.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.36,0.03
Almond,Achaak,,Tunisia,S,8.0,-297.0,3.4,8703.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-1.28,1.02
Almond,Avola,,Tunisia,S,50.0,46.0,13.6,6673.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.5,-0.44
Almond,Bonifacio,,Tunisia,S,61.0,101.0,15.8,7559.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.33,0.2
Almond,Bruantine,,Tunisia,S,34.0,-219.0,10.4,8548.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.75,0.91
Almond,Cavaliera,,Tunisia,S,34.0,-219.0,10.4,7042.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.75,-0.17
Almond,Cavaliera,,Spain,S,,,11.6,7452.0,"Díez-Palet et al., 2019",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.65,0.12
Almond,Cristomorto,,Tunisia,S,83.0,-29.0,22.6,5872.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.19,-1.01
Almond,Cristomorto,,Spain,S,,,20.7,8236.0,"Díez-Palet et al., 2019",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.04,0.68
Almond,Faggoussi,,Tunisia,S,54.0,-148.0,14.5,3962.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.43,-2.38
Almond,Fakhfekh,,Tunisia,S,33.0,-219.0,10.4,5979.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.75,-0.93
Almond,Fasciuneddu,,Tunisia,S,34.0,-219.0,10.4,7027.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.75,-0.18
Almond,Ferraduel,,Tunisia,S,54.0,59.0,14.4,9272.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.44,1.42
Almond,Ferraduel,,Spain,S,,,52.9,7285.0,"Díez-Palet et al., 2019",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,2.52,0.0
Almond,Garnghzel,,Tunisia,S,12.0,-284.0,4.6,8703.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-1.19,1.02
Almond,Genco Taronto,,Tunisia,S,80.0,194.0,21.4,6148.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.1,-0.81
Almond,Genco Taronto,,Spain,S,,,28.7,5971.0,"Díez-Palet et al., 2019",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.66,-0.94
Almond,Khoukhi,,Tunisia,S,31.0,-227.0,9.9,8873.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.79,1.14
Almond,Ksontini,,Tunisia,S,21.0,-258.0,7.3,7071.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.99,-0.15
Almond,Languedoc,,Tunisia,S,23.0,-174.0,7.7,9097.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.95,1.3
Almond,Marcona,,Spain,S,,,22.0,6378.0,"Díez-Palet et al., 2019",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.14,-0.65
Almond,Mazzetto,,Tunisia,S,54.0,-68.0,14.5,9507.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.43,1.59
Almond,Montrone,,Tunisia,S,31.0,-227.0,9.9,9694.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.79,1.72
Almond,Ne Plus Ultra,,Tunisia,S,50.0,11.0,13.6,6847.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.5,-0.31
Almond,Nonpareil,,Tunisia,S,83.0,-29.0,22.6,6045.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.19,-0.89
Almond,Nonpareil,,Spain,S,,,21.7,7062.0,"Díez-Palet et al., 2019",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.12,-0.16
Almond,Pizzuta,,Tunisia,S,83.0,-29.0,22.6,2894.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.19,-3.14
Almond,Ramlet R249,,Tunisia,S,33.0,18.0,10.3,6812.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.75,-0.34
Almond,Ramlet R250,,Tunisia,S,19.0,-266.0,6.7,6812.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-1.03,-0.34
Almond,Soukaret,,Tunisia,S,77.0,-57.0,20.6,5960.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.04,-0.95
Almond,Tarragona,,Tunisia,S,83.0,-29.0,22.6,5830.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.19,-1.04
Almond,Tozeur 1,,Tunisia,S,12.0,-284.0,4.6,8124.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-1.19,0.6
Almond,Tozeur 2,,Tunisia,S,33.0,-219.0,10.4,6309.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.75,-0.7
Almond,Tozeur 4,,Tunisia,S,12.0,-284.0,4.6,6698.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-1.19,-0.42
Almond,Trell,,Tunisia,S,77.0,-57.0,20.6,6003.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,0.04,-0.92
Almond,Tuono Taronto,,Tunisia,S,50.0,46.0,13.6,6148.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.5,-0.81
Almond,Tuono Taronto,,Spain,S,,,52.9,6870.0,"Díez-Palet et al., 2019",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,2.52,-0.3
Almond,Zahaf,,Tunisia,S,31.0,-227.0,9.9,6279.0,"Benmoussa et al., 2017",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.79,-0.72
Almond,Marcona,,Zaragoza,E,276.0,277.0,14.6,5440.0,"Delgado et al., 2025",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.42,-1.32
Almond,Marcona,,Zaragoza,E,51.0,78.0,7.0,7164.0,"Delgado et al., 2025",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-1.01,-0.08
Almond,Marcona,,Santomera,E,22.0,221.0,19.1,7078.0,"Delgado et al., 2025",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.08,-0.15
Almond,Marcona,,Santomera,E,18.0,97.0,13.0,8397.0,"Delgado et al., 2025",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.55,0.8
Almond,Marcona,,Meknes,E,51.0,149.0,8.1,8811.0,"Delgado et al., 2025",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.92,1.09
Almond,Marcona,,Meknes,E,191.0,294.0,16.0,10967.0,"Delgado et al., 2025",20.12,13.02,7282.46,1398.09,147.78,138.31,242.16,291.11,-0.32,2.64
Sweet Cherry,Burlat,,Zaragoza,E,853.0,993.0,42.2,8814.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.73,0.02
Sweet Cherry,Burlat,,Zaragoza,E,608.0,837.0,39.9,8267.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.91,-0.18
Sweet Cherry,Burlat,,Imouzzar-Kandar,E,575.0,737.0,44.1,9638.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.58,0.32
Sweet Cherry,Burlat,,Imouzzar-Kandar,E,383.0,369.0,32.4,9932.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.5,0.42
Sweet Cherry,Lapins,,Zaragoza,E,748.0,1121.0,52.8,9102.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.11,0.12
Sweet Cherry,Lapins,,Imouzzar-Kandar,E,407.0,553.0,32.6,12521.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.48,1.35
Sweet Cherry,Lapins,,Imouzzar-Kandar,E,251.0,200.0,23.8,9832.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-2.17,0.39
Sweet Cherry,Napoleon,,Zaragoza,E,1048.0,1202.0,51.3,7925.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.01,-0.3
Sweet Cherry,Napoleon,,Zaragoza,E,880.0,1102.0,53.1,9102.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.13,0.12
Sweet Cherry,Napoleon,,Azrou,E,432.0,590.0,34.6,14300.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.32,1.99
Sweet Cherry,Napoleon,,Azrou,E,505.0,512.0,40.3,10948.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.87,0.79
Sweet Cherry,Van,,Zaragoza,E,995.0,1136.0,47.7,8834.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.29,0.03
Sweet Cherry,Van,,Zaragoza,E,795.0,1003.0,48.8,8969.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.21,0.08
Sweet Cherry,Van,,Azrou,E,432.0,590.0,34.6,14300.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.32,1.99
Sweet Cherry,Van,,Azrou,E,505.0,513.0,40.3,12981.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.87,1.52
Sweet Cherry,Van,,Spain,E,672.0,1007.0,51.5,8359.0,"Santolaria et al., 2026",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.01,-0.14
Sweet Cherry,Bing,,Spain,E,708.0,1036.0,52.5,8572.0,"Santolaria et al., 2026",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.08,-0.07
