Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference,CP_mean,CP_std,GDH_mean,GDH_std,CH_mean,CH_std,CU_mean,CU_std,CP_standardized,GDH_standardized
Apple,Anna,Dessert,Morocco,E,,,23.0,8290.0,"El Yaacoubi et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-2.28,-0.13
Apple,Aporo,Dessert,Spain,S,,,66.4,7416.0,"Funes et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.51,-0.44
Apple,Aporo,Dessert,Spain,S,,,37.8,9232.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-1.33,0.2
Apple,Blanquina,Cider,Spain,E,855.0,1225.0,78.4,8438.0,"Delgado et al., 2021a",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.28,-0.08
Apple,Blanquina,Cider,Spain,S,847.0,1292.0,63.3,7940.0,"Delgado et al., 2021b",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.31,-0.26
Apple,Boskoop,Dessert,Belgium,S,,,59.2,4430.0,"Drepper et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.05,-1.5
Apple,Brookfield Gala,Dessert,Spain,S,,,62.5,9230.0,"Funes et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.26,0.2
Apple,Brookfield Gala,Dessert,Spain,S,,,44.5,9501.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.9,0.3
Apple,Challenger,Dessert,Spain,S,,,43.0,8202.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.99,-0.16
Apple,Clara,Cider,Spain,S,842.0,1296.0,63.9,9921.0,"Delgado et al., 2021b",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.35,0.44
Apple,Collaos,Cider,Spain,E,911.0,1304.0,84.6,10543.0,"Delgado et al., 2021a",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.68,0.67
Apple,Collaos,Cider,Spain,S,818.0,1240.0,60.3,9585.0,"Delgado et al., 2021b",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.12,0.33
Apple,Coloradona,Cider,Spain,S,815.0,1263.0,63.5,8909.0,"Delgado et al., 2021b",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.32,0.09
Apple,Cox Orange,Dessert,Belgium,S,,,79.6,4268.0,"Drepper et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.36,-1.56
Apple,Cripps Pink,Dessert,Australia,E,856.0,1242.0,73.3,,"Parkes et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.95,
